Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Abaeis nicippe,https://guides.nynhp.org/status/2.107534/,Sleepy Orange,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Pieridae (Whites and Sulphurs),G5,SNRN,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107534/Abaeis_nicippe/
Abagrotis benjamini,https://guides.nynhp.org/status/2.120135/,Coastal Heathland Cutworm,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G3,S1S3,,,Yes (potential),Y,A,https://guides.nynhp.org/coastal-heathland-cutworm/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120135/Abagrotis_benjamini/
Abagrotis brunneipennis,https://guides.nynhp.org/status/2.112613/,Yankee Dart,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112613/Abagrotis_brunneipennis/
Abagrotis orbis,https://guides.nynhp.org/status/2.861304/,Well-marked Cutworm,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Noctuidae (Owlet Moths),G5,S1,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.861304/Abagrotis_orbis/
Acalypha virginica,https://guides.nynhp.org/status/2.136432/,Virginia Three-seeded Mercury,Dicotyledoneae (Dicots),Euphorbiales,Euphorbiaceae (Spurge Family),G5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136432/Acalypha_virginica/
Acantharchus pomotis,https://guides.nynhp.org/status/2.106210/,Mud Sunfish,Actinopterygii (Ray-finned Fishes),Centrarchiformes,Centrarchidae (sunfishes and freshwater basses),G4G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106210/Acantharchus_pomotis/
Acanthis flammea,https://guides.nynhp.org/status/2.1341892/,Redpoll,Aves (Birds),Passeriformes (Perching Birds),Fringillidae,GNR,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1341892/Acanthis_flammea/
Acaulon muticum,https://guides.nynhp.org/status/2.126605/,Dwarf Earth Moss,Bryopsida,Pottiales,Pottiaceae,G4G5,S2,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126605/Acaulon_muticum/
Accipiter atricapillus,https://guides.nynhp.org/status/2.101802/,American Goshawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,"S3S4B,S3N",,Special Concern,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101802/Accipiter_atricapillus/
Accipiter cooperii,https://guides.nynhp.org/status/2.100417/,Cooper's Hawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,S4,,Special Concern,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100417/Accipiter_cooperii/
